ID,Age,ABAC,AveCredit,ADB13,ADB103,AveDebit,AverageFee,BC,SmallLoans,CitySize,BureauScore,CreditCards,CSW9,CWUT,DebitOrderNum3M,DebitOrderVal3M,DebitOrderDispute,DIFO,EmployerGroup,AveBalance,GII,GrossSalary,Gender_Code,HB01,IDCC,IFGG,MDBL,MLL,MDBB,NettoSalary,NumCWL3M,NumLoanApps,NumLoanNTU,NumLoanTU,NumMOBL3M,NumRBL3M,NRV,OCTT,PDU,BLQ,Revolving,RG1,RRV1,Salary_Frequency,TimeSinceLastLoan,TimeSinceRB,ValMOBL3M,ValRBL3M,Vehicle
26162,21,1,6272.95,0.163,0.076,-6773,61,1,0,Rural,591,0,5,0.3794,0,0,0,0,Agriculture & Hunting,217.6581,0,3670,F,1,0.6582,M,3022.39,0,18.68,3633.3,8,2,0,2,0,17,0,Loan,NYY,1,1,0.791094561,42,M,29,1,0,-3495,0
41348,42,1,0,0,0,0,0,0,2,City,624,1,0,0,0,0,0,0,Gov-Other,0,1,10766,M,3,1.1,U,0,0,0,6802,0,0,0,0,0,0,0,Loan,NNN,0,1,0.453596121,0,NULL,1529,0,0,0,0
41213,32,1,10065.7233,0.2934,0.0978,-10336,99,1,0,City,610,1,7,0.6095,0,0,0,1,Retail & Wholesale,347.5151,0,6662.75,M,1,0.8486,M,3881.51,0,19.77,5764.88,26,6,2,3,1,0,0,Loan,NYY,1,1,0.661034291,192,M,242,0,-1600,0,0
25869,28,0,2317.965,0.0659,0.0659,-946,52,1,0,City,617,0,1,0.479,0,0,0,0,Informal,170.9253,0,5132.3,F,3,1,L,2531.05,0,31.45,5080.62,4,3,2,1,2,0,0,Loan,NYY,0,0,0.540302306,84,NULL,231,0,-300,0,0
31083,28,0,33313.2333,0.9782,0.826,-34962,129,1,0,City,635,0,1,0.1586,20,-5188.84,0,1,Chemicals,6508.1404,0,17885.69,M,4,0.5366,HH,9880.97,0,453.56,15638.04,22,7,4,1,8,5,0,Loan,YYY,1,0,0.859451783,196,M,118,1,-47930,-4320,0
15922,55,1,10781.6166,1,1,-11380,48,1,0,Rural,675,0,0,0.6817,0,0,0,0,Gov Health,3032.7419,1,11379.96,M,2,0.7752,H,5835.25,0,1596.45,9620.14,23,0,0,0,0,0,0,Loan,NYN,1,6,0.714281077,0,NULL,718,0,0,0,0
34212,27,1,11860.2866,0.8043,0.3695,-11463,55,1,0,Semi,627,0,0,0.1577,6,-776.25,0,0,Transport & Logistics,1489.8416,0,19255.46,M,4,0.6731,H,6194.72,0,532.91,12187.89,8,2,0,0,11,0,0,Loan,YYY,1,3,0.781892846,54,NULL,453,0,-2450,0,0
44546,51,1,18456.3333,1,0.3369,-18465,70,1,0,Rural,661,0,0,0.2958,22,-7250.21,3,0,Gov Health,825.2398,1,13298.34,F,2,0.5807,H,1162.2,0,132.78,10015.25,8,0,0,0,9,0,0,Loan,YYY,1,1,0.836078828,0,M,7,0,-1500,0,0
41059,52,1,8513.36,0.2826,0.0108,-8532,53,1,2,City,578,0,3,0.5913,2,-240,0,2,Services,143.5488,0,9084,M,1,0.5531,H,231.23,0,18.64,8483.04,7,1,0,1,0,0,0,Loan,YYN,0,0,0.850900098,52,M,131,0,0,0,0
28712,38,0,13080.84,0.9673,0.5869,-14076,62,1,0,City,571,0,0,0.8328,0,0,0,0,Industrial Goods & Services,1408.439,0,2030.8,M,0,0.7313,M,1481.28,0,31.09,1561.85,25,0,0,0,1,0,0,Loan,NYY,1,0,0.744306842,0,W,59,0,-400,0,0
